categoria,atributo,valor,fuente
Computadores,linea_producto,Samsung Chromebook,solotodo
Computadores,linea_producto,Shuttle,solotodo
Computadores,linea_producto,Siemens,solotodo
Computadores,linea_producto,Sony VAIO,solotodo
Computadores,linea_producto,TagTech,solotodo
Computadores,linea_producto,Teqnio,solotodo
Computadores,linea_producto,ThundeRobot 911 Air,solotodo
Computadores,linea_producto,ThundeRobot 911 S,solotodo
Computadores,linea_producto,ThundeRobot 911M,solotodo
Computadores,linea_producto,ThundeRobot 911MT,solotodo
Computadores,linea_producto,ThundeRobot 911X,solotodo
Computadores,linea_producto,ThundeRobot Blade,solotodo
Computadores,linea_producto,ThundeRobot Zero,solotodo
Computadores,linea_producto,Toshiba,solotodo
Computadores,linea_producto,Toshiba Chromebook,solotodo
Computadores,linea_producto,Toshiba Dynabook,solotodo
Computadores,linea_producto,Toshiba KIRAbook,solotodo
Computadores,linea_producto,Toshiba Portégé,solotodo
Computadores,linea_producto,Toshiba Qosmio,solotodo
Computadores,linea_producto,Toshiba Satellite,solotodo
Computadores,linea_producto,Toshiba Satellite Pro,solotodo
Computadores,linea_producto,Toshiba Tecra,solotodo
Computadores,linea_producto,Urao,solotodo
Computadores,linea_producto,V2,solotodo
Computadores,linea_producto,V2 4Play,solotodo
Computadores,linea_producto,V2 Sapphire,solotodo
Computadores,linea_producto,VAIO,solotodo
Computadores,linea_producto,Viewsonic,solotodo
Computadores,linea_producto,Vizio,solotodo
Computadores,linea_producto,Vorago ALPHA,solotodo
Computadores,linea_producto,X-Vision,solotodo
Computadores,linea_producto,XPG,solotodo
Computadores,linea_producto,Xiaomi Mi,solotodo
Computadores,tipo_equipo,Laptop,solotodo
Computadores,tipo_equipo,AIO,solotodo
Computadores,tipo_equipo,Desktop,claude
Computadores,tipo_equipo,Otro,claude
Computadores,linea_procesador,AMD A10,solotodo
Computadores,linea_procesador,AMD A12,solotodo
Computadores,linea_procesador,AMD A4,solotodo
Computadores,linea_procesador,AMD A6,solotodo
Computadores,linea_procesador,AMD A8,solotodo
Computadores,linea_procesador,AMD A9,solotodo
Computadores,linea_procesador,AMD Athlon,solotodo
Computadores,linea_procesador,AMD Athlon 64,solotodo
Computadores,linea_procesador,AMD Athlon 64 X2,solotodo
Computadores,linea_procesador,AMD Athlon Gold,solotodo
Computadores,linea_procesador,AMD Athlon II,solotodo
Computadores,linea_procesador,AMD Athlon II Neo,solotodo
Computadores,linea_procesador,AMD Athlon Neo,solotodo
Computadores,linea_procesador,AMD Athlon Neo X2,solotodo
Computadores,linea_procesador,AMD Athlon Silver,solotodo
Computadores,linea_procesador,AMD Athlon X2,solotodo
Computadores,linea_procesador,AMD C-Series,solotodo
Computadores,linea_procesador,AMD E,solotodo
Computadores,linea_procesador,AMD E-Series,solotodo
Computadores,linea_procesador,AMD E1,solotodo
Computadores,linea_procesador,AMD E2,solotodo
Computadores,linea_procesador,AMD FX,solotodo
Computadores,linea_procesador,AMD Mobile Sempron,solotodo
Computadores,linea_procesador,AMD PRO A4,solotodo
Computadores,linea_procesador,AMD Phenom II,solotodo
Computadores,linea_procesador,AMD Pro A10,solotodo
Computadores,linea_procesador,AMD Pro A8,solotodo
Computadores,linea_procesador,AMD Ryzen 3,solotodo
Computadores,linea_procesador,AMD Ryzen 5,solotodo
Computadores,linea_procesador,AMD Ryzen 7,solotodo
Computadores,linea_procesador,AMD Ryzen 9,solotodo
Computadores,linea_procesador,AMD Ryzen AI 5,solotodo
Computadores,linea_procesador,AMD Ryzen AI 5 Pro,solotodo
Computadores,linea_procesador,AMD Ryzen AI 7,solotodo
Computadores,linea_procesador,AMD Ryzen AI 7 Pro,solotodo
Computadores,linea_procesador,AMD Ryzen AI 9,solotodo
Computadores,linea_procesador,AMD Ryzen AI Max Pro,solotodo
Computadores,linea_procesador,AMD Ryzen AI Max+,solotodo
Computadores,linea_procesador,AMD Ryzen AI Max+ Pro,solotodo
Computadores,linea_procesador,AMD Sempron,solotodo
Computadores,linea_procesador,AMD Turion II,solotodo
Computadores,linea_procesador,AMD Turion II Ultra,solotodo
Computadores,linea_procesador,AMD Turion Neo X2,solotodo
Computadores,linea_procesador,AMD Turion X2,solotodo
Computadores,linea_procesador,AMD Turion X2 Ultra,solotodo
Computadores,linea_procesador,Apple A-Series,solotodo
Computadores,linea_procesador,Apple M-Series,solotodo
Computadores,linea_procesador,Intel,solotodo
Computadores,linea_procesador,Intel Atom,solotodo
Computadores,linea_procesador,Intel Celeron,solotodo
Computadores,linea_procesador,Intel Celeron M,solotodo
Computadores,linea_procesador,Intel Core 2 Duo,solotodo
Computadores,linea_procesador,Intel Core 2 Quad,solotodo
Computadores,linea_procesador,Intel Core 2 Solo,solotodo
Computadores,linea_procesador,Intel Core 3,solotodo
Computadores,linea_procesador,Intel Core 5,solotodo
Computadores,linea_procesador,Intel Core 7,solotodo
Computadores,linea_procesador,Intel Core Duo,solotodo
Computadores,linea_procesador,Intel Core M,solotodo
Computadores,linea_procesador,Intel Core M3,solotodo
Computadores,linea_procesador,Intel Core M5,solotodo
Computadores,linea_procesador,Intel Core M7,solotodo
Computadores,linea_procesador,Intel Core Ultra 5,solotodo
Computadores,linea_procesador,Intel Core Ultra 7,solotodo
Computadores,linea_procesador,Intel Core Ultra 9,solotodo
Computadores,linea_procesador,Intel Core i3,solotodo
Computadores,linea_procesador,Intel Core i5,solotodo
Computadores,linea_procesador,Intel Core i7,solotodo
Computadores,linea_procesador,Intel Core i9,solotodo
Computadores,linea_procesador,Intel Pentium,solotodo
Computadores,linea_procesador,Intel Pentium Dual Core,solotodo
Computadores,linea_procesador,Intel Xeon,solotodo
Computadores,linea_procesador,Mediatek,solotodo
Computadores,linea_procesador,NVIDIA Tegra,solotodo
Computadores,linea_procesador,Qualcomm,solotodo
Computadores,linea_procesador,Qualcomm Snapdragon X,solotodo
Computadores,linea_procesador,Qualcomm Snapdragon X Elite,solotodo
Computadores,linea_procesador,Qualcomm Snapdragon X Plus,solotodo
Computadores,linea_procesador,Rockchip,solotodo
Computadores,linea_procesador,Samsung Exynos,solotodo
Computadores,linea_procesador,VIA C7-M,solotodo
Computadores,linea_procesador,VIA Nano,solotodo
Computadores,linea_procesador,VIA WM,solotodo
Computadores,generacion_procesador,ARM Cortex A15 (28 nm),solotodo
Computadores,generacion_procesador,ARM Cortex A17 (28 nm),solotodo
Computadores,generacion_procesador,ARM Cortex A72 (28 nm),solotodo
Computadores,generacion_procesador,ARM Cortex A73 (12 nm),solotodo
Computadores,generacion_procesador,ARM Cortex A76 (7 nm),solotodo
Computadores,generacion_procesador,Alder Lake-HX (10 nm),solotodo
Computadores,generacion_procesador,Alder Lake-N (10 nm),solotodo
Computadores,generacion_procesador,Alder Lake-P (10 nm),solotodo
Computadores,generacion_procesador,Alder Lake-U (10 nm),solotodo
Computadores,generacion_procesador,Amber Lake Y (14 nm),solotodo
Computadores,generacion_procesador,Apollo Lake (14 nm),solotodo
