categoria,atributo,valor,atributo_complementario,complemento
Computadores,procesador_principal,AMD Athlon 64 2000+,hilos_procesador,1
Computadores,procesador_principal,AMD Athlon 64 2600+,nucleos_procesador,1
Computadores,procesador_principal,AMD Athlon 64 2600+,hilos_procesador,1
Computadores,procesador_principal,AMD Athlon 64 2800+,nucleos_procesador,1
Computadores,procesador_principal,AMD Athlon 64 2800+,hilos_procesador,1
Computadores,procesador_principal,AMD Athlon 64 3000+,nucleos_procesador,1
Computadores,procesador_principal,AMD Athlon 64 3000+,hilos_procesador,1
Computadores,procesador_principal,AMD Athlon 64 3100+,nucleos_procesador,1
Computadores,procesador_principal,AMD Athlon 64 3100+,hilos_procesador,1
Computadores,procesador_principal,AMD Athlon 64 3200+,nucleos_procesador,1
Computadores,procesador_principal,AMD Athlon 64 3200+,hilos_procesador,1
Computadores,procesador_principal,AMD Athlon 64 3300+,nucleos_procesador,1
Computadores,procesador_principal,AMD Athlon 64 3300+,hilos_procesador,1
Computadores,procesador_principal,AMD Athlon 64 3400+,nucleos_procesador,1
Computadores,procesador_principal,AMD Athlon 64 3400+,hilos_procesador,1
Computadores,procesador_principal,AMD Athlon 64 3500+,nucleos_procesador,1
Computadores,procesador_principal,AMD Athlon 64 3500+,hilos_procesador,1
Computadores,procesador_principal,AMD Athlon 64 3700+,nucleos_procesador,1
Computadores,procesador_principal,AMD Athlon 64 3700+,hilos_procesador,1
Computadores,procesador_principal,AMD Athlon 64 3800+,nucleos_procesador,1
Computadores,procesador_principal,AMD Athlon 64 3800+,hilos_procesador,1
Computadores,procesador_principal,AMD Athlon 64 4000+,nucleos_procesador,1
Computadores,procesador_principal,AMD Athlon 64 4000+,hilos_procesador,1
Computadores,procesador_principal,AMD Athlon 64 FX-55,nucleos_procesador,1
Computadores,procesador_principal,AMD Athlon 64 FX-55,hilos_procesador,1
Computadores,procesador_principal,AMD Athlon 64 FX-57,nucleos_procesador,1
Computadores,procesador_principal,AMD Athlon 64 FX-57,hilos_procesador,1
Computadores,procesador_principal,AMD Athlon 64 FX-59,nucleos_procesador,1
Computadores,procesador_principal,AMD Athlon 64 FX-59,hilos_procesador,1
Computadores,procesador_principal,AMD Athlon 64 FX-60 Dual Core,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 FX-60 Dual Core,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 FX-62 Dual Core,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 FX-62 Dual Core,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 FX-74,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 FX-74,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual Core 3400+,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual Core 3400+,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual Core 3600+,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual Core 3600+,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual Core 3800+,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual Core 3800+,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual Core 4000+,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual Core 4000+,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual Core 4200+,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual Core 4200+,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual Core 4400+,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual Core 4400+,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual Core 4600+,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual Core 4600+,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual Core 4800+,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual Core 4800+,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual Core 5000+,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual Core 5000+,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual Core 5200+,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual Core 5200+,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual Core 5400+,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual Core 5400+,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual Core 5600+,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual Core 5600+,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual Core 5800+,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual Core 5800+,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual Core 6000+,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual Core 6000+,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual Core 6400+,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual Core 6400+,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual Core BE-2300,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual Core BE-2300,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual Core BE-2350,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual Core BE-2350,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual-Core TK-42,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual-Core TK-42,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual-Core TK-53,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual-Core TK-53,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual-Core TK-55,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual-Core TK-55,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual-Core TK-57,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 Dual-Core TK-57,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 QL-60,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 QL-60,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 QL-62,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 QL-62,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 QL-64,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 QL-64,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 QL-65,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 QL-65,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 QL-66,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 QL-66,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 QL-67,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 64 X2 QL-67,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon 7450 Dual-Core,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 7450 Dual-Core,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon 7550 Dual-Core,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 7550 Dual-Core,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon 7750 Dual-Core,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 7750 Dual-Core,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon 7850 Dual-Core,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 7850 Dual-Core,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon Dual Core 4050e,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon Dual Core 4050e,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon Dual Core 4450B,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon Dual Core 4450B,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon Dual Core 4450e,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon Dual Core 4450e,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon Dual Core 4850B,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon Dual Core 4850B,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon Dual Core 4850e,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon Dual Core 4850e,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon Dual Core 5000B,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon Dual Core 5000B,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon Dual Core 5050e,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon Dual Core 5050e,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon Dual Core 5200B,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon Dual Core 5200B,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon Dual Core 5400B,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon Dual Core 5400B,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon Dual Core 5600B,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon Dual Core 5600B,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon Gold 3150C,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon Gold 3150C,hilos_procesador,4
Computadores,procesador_principal,AMD Athlon Gold 3150G,nucleos_procesador,4
Computadores,procesador_principal,AMD Athlon Gold 3150G,hilos_procesador,4
Computadores,procesador_principal,AMD Athlon Gold 3150U,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon Gold 3150U,hilos_procesador,4
Computadores,procesador_principal,AMD Athlon Gold 7220U,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon Gold 7220U,hilos_procesador,4
Computadores,procesador_principal,AMD Athlon II 160u,nucleos_procesador,1
Computadores,procesador_principal,AMD Athlon II 160u,hilos_procesador,1
Computadores,procesador_principal,AMD Athlon II 170u,nucleos_procesador,1
Computadores,procesador_principal,AMD Athlon II 170u,hilos_procesador,1
